Date	Hour	Price
15.01.2018	H18	59.11
15.01.2018	H19	56.00
15.01.2018	H20	50.09
15.01.2018	H21	44.42
15.01.2018	H22	27.82
15.01.2018	H23	12.01
15.01.2018	H24	8.00
16.01.2018	H1	20.92
16.01.2018	H2	10.21
16.01.2018	H3	3.06
16.01.2018	H4	3.01
16.01.2018	H5	4.67
16.01.2018	H6	19.99
16.01.2018	H7	38.38
16.01.2018	H8	53.21
16.01.2018	H9	58.17
16.01.2018	H10	57.57
16.01.2018	H11	57.02
16.01.2018	H12	55.20
16.01.2018	H13	53.47
16.01.2018	H14	51.53
16.01.2018	H15	49.38
16.01.2018	H16	50.67
16.01.2018	H17	51.53
16.01.2018	H18	57.57
16.01.2018	H19	49.38
16.01.2018	H20	47.04
16.01.2018	H21	41.10
16.01.2018	H22	29.23
16.01.2018	H23	27.00
16.01.2018	H24	18.74
17.01.2018	H1	18.00
17.01.2018	H2	16.30
17.01.2018	H3	13.53
17.01.2018	H4	12.49
17.01.2018	H5	12.18
17.01.2018	H6	19.70
17.01.2018	H7	31.00
17.01.2018	H8	44.53
17.01.2018	H9	51.01
17.01.2018	H10	52.85
17.01.2018	H11	52.77
17.01.2018	H12	52.73
17.01.2018	H13	52.75
17.01.2018	H14	51.67
17.01.2018	H15	50.65
17.01.2018	H16	51.00
17.01.2018	H17	50.44
17.01.2018	H18	52.96
17.01.2018	H19	48.00
17.01.2018	H20	51.83
17.01.2018	H21	49.61
17.01.2018	H22	30.04
17.01.2018	H23	23.80
17.01.2018	H24	15.00
18.01.2018	H1	15.50
18.01.2018	H2	11.74
18.01.2018	H3	10.32
18.01.2018	H4	10.00
18.01.2018	H5	11.98
18.01.2018	H6	16.61
18.01.2018	H7	29.26
18.01.2018	H8	40.99
18.01.2018	H9	44.21
18.01.2018	H10	43.45
18.01.2018	H11	44.00
18.01.2018	H12	44.00
18.01.2018	H13	44.65
18.01.2018	H14	46.00
18.01.2018	H15	44.00
18.01.2018	H16	41.00
18.01.2018	H17	44.36
18.01.2018	H18	49.96
18.01.2018	H19	43.09
18.01.2018	H20	42.01
18.01.2018	H21	39.00
18.01.2018	H22	34.14
18.01.2018	H23	32.94
18.01.2018	H24	27.80
19.01.2018	H1	27.92
19.01.2018	H2	26.46
19.01.2018	H3	25.74
19.01.2018	H4	24.99
19.01.2018	H5	26.50
19.01.2018	H6	29.38
19.01.2018	H7	38.82
19.01.2018	H8	47.74
19.01.2018	H9	49.31
19.01.2018	H10	47.80
19.01.2018	H11	46.20
19.01.2018	H12	44.74
19.01.2018	H13	43.00
19.01.2018	H14	40.98
19.01.2018	H15	40.51
19.01.2018	H16	41.41
19.01.2018	H17	44.00
19.01.2018	H18	49.00
19.01.2018	H19	50.00
19.01.2018	H20	47.62
19.01.2018	H21	43.80
19.01.2018	H22	37.70
19.01.2018	H23	37.26
19.01.2018	H24	32.48
20.01.2018	H1	30.10
20.01.2018	H2	28.01
20.01.2018	H3	28.00
20.01.2018	H4	26.11
20.01.2018	H5	25.00
20.01.2018	H6	25.96
20.01.2018	H7	27.56
20.01.2018	H8	28.40
20.01.2018	H9	42.35
20.01.2018	H10	44.29
20.01.2018	H11	44.29
20.01.2018	H12	43.27
20.01.2018	H13	39.91
20.01.2018	H14	37.97
20.01.2018	H15	36.60
20.01.2018	H16	37.35
20.01.2018	H17	42.01
20.01.2018	H18	49.23
20.01.2018	H19	48.30
20.01.2018	H20	44.80
20.01.2018	H21	41.14
20.01.2018	H22	38.59
20.01.2018	H23	37.00
20.01.2018	H24	34.00
21.01.2018	H1	28.61
21.01.2018	H2	26.47
21.01.2018	H3	25.00
21.01.2018	H4	24.07
21.01.2018	H5	24.20
21.01.2018	H6	24.99
21.01.2018	H7	26.50
21.01.2018	H8	28.87
21.01.2018	H9	32.74
21.01.2018	H10	37.23
21.01.2018	H11	40.00
21.01.2018	H12	41.00
21.01.2018	H13	40.51
21.01.2018	H14	37.97
21.01.2018	H15	35.19
21.01.2018	H16	35.65
21.01.2018	H17	38.70
21.01.2018	H18	43.00
21.01.2018	H19	43.56
21.01.2018	H20	41.41
21.01.2018	H21	37.60
21.01.2018	H22	33.22
21.01.2018	H23	31.79
21.01.2018	H24	28.90
22.01.2018	H1	26.57
22.01.2018	H2	20.90
22.01.2018	H3	18.90
22.01.2018	H4	13.92
22.01.2018	H5	15.40
22.01.2018	H6	22.01
22.01.2018	H7	34.10
22.01.2018	H8	43.00
22.01.2018	H9	46.47
22.01.2018	H10	46.81
22.01.2018	H11	46.07
22.01.2018	H12	45.30
22.01.2018	H13	44.96
22.01.2018	H14	44.54
22.01.2018	H15	43.50
22.01.2018	H16	43.77
22.01.2018	H17	45.17
22.01.2018	H18	50.99
22.01.2018	H19	49.95
22.01.2018	H20	46.68
22.01.2018	H21	41.14
22.01.2018	H22	38.00
22.01.2018	H23	35.37
22.01.2018	H24	31.13
23.01.2018	H1	33.00
23.01.2018	H2	31.15
23.01.2018	H3	30.42
23.01.2018	H4	29.33
23.01.2018	H5	29.64
23.01.2018	H6	34.00
23.01.2018	H7	43.45
23.01.2018	H8	50.48
23.01.2018	H9	54.00
23.01.2018	H10	51.92
23.01.2018	H11	48.47
23.01.2018	H12	47.90
23.01.2018	H13	45.56
23.01.2018	H14	42.91
23.01.2018	H15	40.06
23.01.2018	H16	39.70
23.01.2018	H17	41.81
23.01.2018	H18	46.00
